  -faggressive-loop-optimizations 	[enabled]
  -fallocation-dce            		[enabled]
  -fasynchronous-unwind-tables 		[enabled]
  -fauto-inc-dec              		[enabled]
  -fbit-tests                 		[enabled]
  -fbranch-count-reg          		[enabled]
  -fcaller-saves              		[enabled]
  -fcode-hoisting             		[enabled]
  -fcombine-stack-adjustments 		[enabled]
  -fcompare-elim              		[enabled]
  -fcprop-registers           		[enabled]
  -fcrossjumping              		[enabled]
  -fcse-follow-jumps          		[enabled]
  -fdce                       		[enabled]
  -fdefer-pop                 		[enabled]
  -fdevirtualize              		[enabled]
  -fdevirtualize-speculatively 		[enabled]
  -fdse                       		[enabled]
  -fearly-inlining            		[enabled]
  -fexpensive-optimizations   		[enabled]
  -ffold-mem-offsets          		[enabled]
  -fforward-propagate         		[enabled]
  -ffp-int-builtin-inexact    		[enabled]
  -ffunction-cse              		[enabled]
  -fgcse                      		[enabled]
  -fgcse-lm                   		[enabled]
  -fguess-branch-probability  		[enabled]
  -fhoist-adjacent-loads      		[enabled]
  -fif-conversion             		[enabled]
  -fif-conversion2            		[enabled]
  -findirect-inlining         		[enabled]
  -finline                    		[enabled]
  -finline-atomics            		[enabled]
  -finline-functions          		[enabled]
  -finline-functions-called-once 	[enabled]
  -finline-small-functions    		[enabled]
  -fipa-bit-cp                		[enabled]
  -fipa-cp                    		[enabled]
  -fipa-icf                   		[enabled]
  -fipa-icf-functions         		[enabled]
  -fipa-icf-variables         		[enabled]
  -fipa-modref                		[enabled]
  -fipa-profile               		[enabled]
  -fipa-pure-const            		[enabled]
  -fipa-ra                    		[enabled]
  -fipa-reference             		[enabled]
  -fipa-reference-addressable 		[enabled]
  -fipa-sra                   		[enabled]
  -fipa-stack-alignment       		[enabled]
  -fipa-strict-aliasing       		[enabled]
  -fipa-vrp                   		[enabled]
  -fira-hoist-pressure        		[enabled]
  -fira-share-save-slots      		[enabled]
  -fira-share-spill-slots     		[enabled]
  -fisolate-erroneous-paths-dereference 	[enabled]
  -fivopts                    		[enabled]
  -fjump-tables               		[enabled]
  -flifetime-dse              		[enabled]
  -flra-remat                 		[enabled]
  -fmath-errno                		[enabled]
  -fmove-loop-invariants      		[enabled]
  -fmove-loop-stores          		[enabled]
  -fno-inline-stringops       		[enabled]
  -fomit-frame-pointer        		[enabled]
  -foptimize-sibling-calls    		[enabled]
  -fpartial-inlining          		[enabled]
  -fpeephole                  		[enabled]
  -fpeephole2                 		[enabled]
  -fplt                       		[enabled]
  -fprintf-return-value       		[enabled]
  -free                       		[enabled]
  -freg-struct-return         		[enabled]
  -freorder-blocks            		[enabled]
  -freorder-blocks-and-partition 	[enabled]
  -freorder-functions         		[enabled]
  -frerun-cse-after-loop      		[enabled]
  -fsched-critical-path-heuristic 	[enabled]
  -fsched-dep-count-heuristic 		[enabled]
  -fsched-group-heuristic     		[enabled]
  -fsched-interblock          		[enabled]
  -fsched-last-insn-heuristic 		[enabled]
  -fsched-rank-heuristic      		[enabled]
  -fsched-spec                		[enabled]
  -fsched-spec-insn-heuristic 		[enabled]
  -fsched-stalled-insns-dep   		[enabled]
  -fschedule-fusion           		[enabled]
  -fschedule-insns2           		[enabled]
  -fsemantic-interposition    		[enabled]
  -fshort-enums               		[enabled]
  -fshrink-wrap               		[enabled]
  -fshrink-wrap-separate      		[enabled]
  -fsigned-zeros              		[enabled]
  -fsplit-ivs-in-unroller     		[enabled]
  -fsplit-wide-types          		[enabled]
  -fssa-backprop              		[enabled]
  -fssa-phiopt                		[enabled]
  -fstdarg-opt                		[enabled]
  -fstore-merging             		[enabled]
  -fstrict-aliasing           		[enabled]
  -fthread-jumps              		[enabled]
  -ftoplevel-reorder          		[enabled]
  -ftrapping-math             		[enabled]
  -ftree-bit-ccp              		[enabled]
  -ftree-builtin-call-dce     		[enabled]
  -ftree-ccp                  		[enabled]
  -ftree-ch                   		[enabled]
  -ftree-coalesce-vars        		[enabled]
  -ftree-copy-prop            		[enabled]
  -ftree-dce                  		[enabled]
  -ftree-dominator-opts       		[enabled]
  -ftree-dse                  		[enabled]
  -ftree-forwprop             		[enabled]
  -ftree-fre                  		[enabled]
  -ftree-loop-distribute-patterns 	[enabled]
  -ftree-loop-im              		[enabled]
  -ftree-loop-ivcanon         		[enabled]
  -ftree-loop-optimize        		[enabled]
  -ftree-phiprop              		[enabled]
  -ftree-pre                  		[enabled]
  -ftree-pta                  		[enabled]
  -ftree-reassoc              		[enabled]
  -ftree-scev-cprop           		[enabled]
  -ftree-sink                 		[enabled]
  -ftree-slsr                 		[enabled]
  -ftree-sra                  		[enabled]
  -ftree-switch-conversion    		[enabled]
  -ftree-tail-merge           		[enabled]
  -ftree-ter                  		[enabled]
  -ftree-vrp                  		[enabled]
  -funwind-tables             		[enabled]
